Wiederaufnahme der Sitzungsperiode	Resumption of the session
Ich erkläre die am Freitag, dem 15. Dezember 2000, unterbrochene Sitzungsperiode des Europäischen Parlaments für wieder aufgenommen.	I declare resumed the session of the European Parliament adjourned on Friday, 15 December 2000.
Erklärungen der Präsidentin	Statements by the President
Werte Kolleginnen und Kollegen, wie Sie wissen, hat ein weiteres Erdbeben in Mittelamerika in dieser bereits mehrfach seit Beginn des zwanzigsten Jahrhunderts schwer getroffenen Region verheerenden Schaden angerichtet.	Ladies and gentlemen, on Saturday, as you know, an earthquake struck Central America once again, with tragic consequences. This is an area which has already been seriously affected on a number of occasions since the beginning of the twentieth century.
Die vorläufige, schreckliche Bilanz in El Salvador lautet zurzeit bereits: 350 Tote, 1 200 Vermisste, eine vollständig verwüstete Region und Tausende zerstörter Häuser im gesamten Land.	The latest, provisional, figures for victims in El Salvador are already very high. There are 350 people dead, 1 200 people missing, the area is completely devastated and thousands of homes have been destroyed throughout the country.
Die Europäische Union hat schon jetzt ihre Solidarität unter Beweis gestellt, indem sie eine Hilfsmannschaft vor Ort geschickt hat, während die Bereitstellung von Finanzhilfen der EU und ihrer Mitgliedstaaten bereits erfolgte oder in Kürze erfolgen wird. Ich kann Ihnen mitteilen, dass einige Fraktionen unseres Parlaments gefordert haben, die Frage im Rahmen der Dringlichkeitsdebatte am Donnerstag zu behandeln.	The European Union has already shown its solidarity by sending a rescue team to the area, whilst financial assistance from the Union and Member States has been, or is in the process of being, released and I am able to inform you that some groups in the European Parliament have requested that this issue be included in the debate on topical and urgent subjects of major importance on Thursday.
Des Weiteren möchte ich Sie darüber in Kenntnis setzen, dass ich dem Präsidenten von El Salvador - natürlich im Namen des Europäischen Parlaments - unser Beileid übermittelt und angesichts der Tragödie, die dieses Land durchlebt, unser tiefstes Mitgefühl zum Ausdruck gebracht habe.	However, I should like to inform you that I have, of course, on behalf of the European Union, expressed our sincere condolences and deepest sympathy to the President of El Salvador in the tragedy which has struck his country.
Aus Achtung vor den Opfern und dem unermesslichen Leid ihrer Familien möchte ich Sie bitten, eine Schweigeminute einzulegen.	I would ask you, as a mark of respect for the victims and for the immense suffering of their families, to observe a minute' s silence.
(Das Parlament erhebt sich zu einer Schweigeminute.)	(The House rose and observed a minute' s silence)
Die Präsidentin.	President.
Der 31. Dezember, der für die meisten unter uns ein Feiertag ist, wurde für die Familien von Volendam in den Niederlanden, wo in der Silvesternacht zehn junge Menschen den Tod fanden, leider zu einem Tag der Trauer.	Tragically, on 31 December, a day that most of us commemorate with celebration, became a day of mourning for the families of Volendam, in the Netherlands, who lost 10 of their young people on New Year' s Eve.
Im Namen des Europäischen Parlaments möchte ich den von diesem Schicksalsschlag getroffenen Eltern und Angehörigen der Opfer unsere Solidarität bekunden.	I should like, on behalf of the European Parliament, to express our sympathy to the parents and families of the victims.
Außerdem möchte ich den 180 Personen, die bei diesem schrecklichen Brand verletzt wurden, meine Genesungswünsche übermitteln.	I should also like to wish the 180 people injured in this awful fire a speedy recovery.
Ich kann nicht vergessen, dass sich auch andere Orte, die dem Feiern und der Freude vorbehalten waren, allzu oft in Orte der Unglücks und der Trauer verwandeln, weil nicht die erforderlichen Sicherheitsvorkehrungen getroffen wurden.	I should not forget that many places, where joyful celebrations are also held, are all too often transformed by sadness and mourning, due to a lack of adequate safety measures.
Ich möchte in eben diesem Sinne den Familien der 309 Opfer eines Brandes in einer Diskothek im chinesischen Luoyang mein Beileid aussprechen und Sie bitten, zu ihrem Gedenken eine Schweigeminute einzulegen.	It is in the same spirit that I should like to express my condolences to the families of the 309 victims of the fire at a disco in Luoyang, in China, and I would ask you to observe a minute' s silence in honour of these victims.
(Das Parlament erhebt sich zu einer Schweigeminute.)	(The House rose and observed a minute' s silence)
Die Präsidentin.	President.
Liebe Kolleginnen und Kollegen, ebenso wie Sie hätte auch ich mir gewünscht, dass wir unsere erste Sitzungsperiode des Jahres eröffnen können, ohne neue Opfer der ETA-Terroristen beklagen zu müssen.	Ladies and gentlemen, I had wished, as everyone had, that we would be able to open our first part-session of the year without having to mention further victims of ETA terrorism.
Leider wurde der Polizist Juan Miguel Gervilla am 20. Dezember in Barcelona von den Terroristen ermordet.	Unfortunately, on 20 December, Juan Miguel Gervilla, a police officer in Barcelona, was killed by terrorists.
Er hatte seine Mörder bei den Vorbereitungen auf einen Anschlag überrascht.	He had disturbed his killers as they were preparing an attack.
Sein mutiges Einschreiten hat ihn bedauerlicherweise das Leben gekostet, jedoch ohne Zweifel zahlreiche Menschenleben gerettet.	His courageous actions unfortunately cost him his life but undoubtedly also saved many others.
Aus diesem Grunde möchte ich ihm eine besondere Ehre erweisen und Sie bitten, auch seiner mit einer Schweigeminute zu gedenken.	This is why I would like to pay tribute to him in particular and I would ask you again to observe a minute' s silence.
(Das Parlament erhebt sich zu einer Schweigeminute.)	(The House rose and observed a minute' s silence)
Rücküberweisung an den Ausschuss	Referral back to committee
Zum Bericht von Herrn Cashman über den Zugang der Öffentlichkeit zu Dokumenten des Parlaments, des Rates und der Kommission (A5-0318/2000) teilte mir der Ausschuss für Freiheiten und Rechte der Bürger im Anschluss an die Vertagung der Abstimmung über den Entwurf einer legislativen Entschließung auf den 16. November 2000 mit, dass er noch nicht in der Lage ist, die in der Geschäftsordnung vorgesehene Zweimonatsfrist einzuhalten.	With regard to the report by Mr Cashman on public access to Parliament, Council and Commission documents, for which the vote on the draft legislative resolution was postponed on 16 November, the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs has informed me that it is not yet able to meet the two month deadline laid down in the Rules of Procedure.
Aus diesem Grund beantragt er die Rücküberweisung an den Ausschuss gemäß Artikel 144 Absatz 1 unserer Geschäftsordnung.	This is why it has requested that it be referred back to committee pursuant to Rule 144(1) of the Rules of Procedure.
Ich erteile dem Vorsitzenden dieses Ausschusses, Herrn Watson, gleich das Wort, damit er uns im Namen seines Ausschusses den Antrag vorstellt.	I shall now give the floor to Mr Watson, Chairman of this committee, so that he can present the request on its behalf.
Frau Präsidentin! Am 16. November billigte das Parlament freundlicherweise den Antrag des Ausschusses, dessen Vorsitzender ich bin, die endgültige Abstimmung über Herrn Cashmans Entwurf einer legislativen Entschließung zu vertagen.	Madam President, the House kindly agreed on 16 November to a request from the committee which I have the honour to chair to delay the final vote on Mr Cashman's proposed legislative resolution.
Dieser Aufschub sollte den anderen Organen und der Kommission die Möglichkeit geben, unsere Änderungsanträge zu überdenken bzw. abgeänderte Entwürfe zu formulieren.	That delay was intended to allow time for the other institutions to consider our amendments and for the Commission to formulate amended proposals.
Seit der Novembertagung sind wir mit den anderen Einrichtungen in Kontakt, jedoch konnte bislang keine Einigung erzielt werden.	Since our November part-session, we have had contacts with the other institutions, though as yet no agreement has been forthcoming.
Wir bitten deshalb dieses Hohe Haus um eine Verlängerung von höchstens zwei Monaten um den Dialog abschließen und, so hoffen wir, auf unserer Tagung am 28. Februar Kompromissanträge zur Abstimmung vorlegen zu können.	Therefore, we would ask the House for a prorogation of the delay of a maximum of two months in order to conclude the dialogue and, we hope, present to you compromise amendments for voting at our part-session on 28 February.
(Das Parlament billigt den Antrag.)	(Parliament approved the request)
Arbeitsplan	Agenda
Nach der Tagesordnung folgt die Prüfung des endgültigen Entwurfs der Tagesordnung, wie er von der Konferenz der Präsidenten in der Sitzung am 11. Januar erstellt wurde.	The next item is the final draft agenda as drawn up by the Conference of Presidents at its meeting of Tuesday 11 January.
Tagungen vom 15. bis 18. Januar in Straßburg Die Präsidentin.	Sittings from 15 to 18 January in Strasbourg President.
Zu den Sitzungen am Montag, Dienstag und Mittwoch liegen mir keine Änderungsanträge vor.	I have received no requests for amendments to the agenda for Monday, Tuesday or Wednesday.
Frau Präsidentin, ich möchte Sie und meine Kolleginnen und Kollegen darauf aufmerksam machen, dass ich zwar die Gründe kenne, die Sie dazu veranlasst haben, den Kahn und damit die Tagesordnung vom Mittwoch derart zu überladen, was die zu erörternden politischen Themen betrifft, jedoch verfügen Rat und Kommission über die gleiche Redezeit wie alle Europaabgeordneten zusammen: 90 Minuten für den Rat und die Kommission, 90 Minuten für die Abgeordneten.	Madam President, I would like to point out to my fellow Members and to yourself, that, whilst I understand the reasons which led you to go over the top and set such a full agenda for Wednesday, with regard to the political topics due to be discussed between 9 a.m. and 4 p.m., the Council and the Commission have exactly the same speaking time as all the Members of the European Parliament, i.e. 90 minutes for the Council and the Commission and 90 minutes for the MEPs.
